id,name,X,Y
"1",point,311791.316,6694146.977
"2",ushaka,311299.590,6694468.217
"3",south,310985.445,6694975.806
"4",north,310477.588,6696277.653
"5",pirates,310269.791,6697451.335
"6",country club,310314.431,6698450.127
