id,Name,X,Y,catch,qFac,meanE,stdE,bflow
1,Hospital,311083.074,6694801.254,355000,0.5,26233,124004,0.0
2,Rutherford,310893.14,6695152.784,144375,0.5,38147,43481,0.0
3,Pixley,310748.178,6695524.804,350000,0.5,6908,8661,0.0
4,Somtseu,310329.719,6696855.864,744375,0.3,15779,14352,0.005
5,Argyle,310269.791,6697451.335,1618125,0.5,76518,83846,0.015
6,WG,310314.431,6698450.127,2203750,0.1,22162,16160,0.005
