,year,month,day,hour,flow
0,2023,9,15,16,3.0
1,2023,9,15,17,2.9999999999999996
2,2023,9,15,18,2.9999999999999996
3,2023,9,15,19,2.9999999999999996
4,2023,9,15,20,2.9999999999999996
5,2023,9,15,21,2.9999999999999996
6,2023,9,15,22,2.9999999999999996
7,2023,9,15,23,2.9999999999999996
8,2023,9,16,0,2.9999999999999996
9,2023,9,16,1,2.9999999999999996
10,2023,9,16,2,2.9999999999999996
11,2023,9,16,3,2.9999999999999996
12,2023,9,16,4,2.9999999999999996
13,2023,9,16,5,2.9999999999999996
14,2023,9,16,6,2.9999999999999996
15,2023,9,16,7,2.9999999999999996
16,2023,9,16,8,2.9999999999999996
17,2023,9,16,9,2.9999999999999996
18,2023,9,16,10,2.9999999999999996
19,2023,9,16,11,2.9999999999999996
20,2023,9,16,12,2.9999999999999996
21,2023,9,16,13,2.9999999999999996
22,2023,9,16,14,3.3211111111111107
23,2023,9,16,15,3.642222222222222
24,2023,9,16,16,3.160555555555555
25,2023,9,16,17,3.160555555555555
26,2023,9,16,18,2.9999999999999996
27,2023,9,16,19,2.9999999999999996
28,2023,9,16,20,2.9999999999999996
29,2023,9,16,21,3.160555555555555
30,2023,9,16,22,2.9999999999999996
31,2023,9,16,23,2.9999999999999996
32,2023,9,17,0,2.9999999999999996
33,2023,9,17,1,2.9999999999999996
34,2023,9,17,2,2.9999999999999996
35,2023,9,17,3,2.9999999999999996
36,2023,9,17,4,3.160555555555555
37,2023,9,17,5,2.9999999999999996
38,2023,9,17,6,2.9999999999999996
39,2023,9,17,7,2.9999999999999996
40,2023,9,17,8,2.9999999999999996
41,2023,9,17,9,2.9999999999999996
42,2023,9,17,10,2.9999999999999996
43,2023,9,17,11,2.9999999999999996
44,2023,9,17,12,2.9999999999999996
45,2023,9,17,13,2.9999999999999996
46,2023,9,17,14,2.9999999999999996
47,2023,9,17,15,2.9999999999999996
48,2023,9,17,16,2.9999999999999996
49,2023,9,17,17,2.9999999999999996
50,2023,9,17,18,2.9999999999999996
51,2023,9,17,19,2.9999999999999996
